Color,Name,Kms_Driven,Owner,Fuel,RTO,Tranmission,Price,Body_type,Variant,Airbags,Alloy_wheels,Cruise_control,Infotainment_system,Parking_sensors,Push_button_start,Steering_mounted_controls,Sunroof_moonroof
red,2019 Jeep Compass,"8,541 KM",1ST,DIESEL,HR-51,Manual,"₹14,41,000",luxury%20suv,LIMITED 2.0 DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,
red,2018 Mahindra XUV500,"67,477 KM",1ST,DIESEL,KA-03,Automatic,"₹12,91,000",luxury%20suv,W7 ATAutomatic,1.0,,1.0,1.0,1.0,1.0,1.0,
red,2016 Mahindra XUV500,"65,314 KM",1ST,DIESEL,KA-51,Automatic,"₹11,44,000",luxury%20suv,W6 ATAutomatic,1.0,,1.0,,1.0,,1.0,
red,2019 Jeep Compass,"51,278 KM",1ST,PETROL,MH-43,Automatic,"₹15,75,000",luxury%20suv,LIMITED PLUS PETROL ATAutomatic,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
red,2019 Mahindra XUV500,"1,08,705 KM",1ST,DIESEL,TN-12,Manual,"₹12,90,000",luxury%20suv,W7Manual,1.0,,1.0,1.0,1.0,1.0,1.0,
red,2018 Jeep Compass,"85,152 KM",1ST,DIESEL,TS-08,Manual,"₹13,96,000",luxury%20suv,LIMITED 2.0 DIESELManual,1.0,1.0,,1.0,1.0,1.0,1.0,
red,2019 Jeep Compass,"1,14,468 KM",1ST,PETROL,TN-66,Automatic,"₹14,63,000",luxury%20suv,LIMITED PLUS PETROL ATAutomatic,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
red,2017 Jeep Compass,"78,298 KM",2ND,PETROL,HR-26,Automatic,"₹10,90,000",luxury%20suv,LIMITED 1.4 PETROL ATAutomatic,1.0,1.0,,,1.0,1.0,1.0,
red,2017 Jeep Compass,"49,569 KM",2ND,DIESEL,TN-10,Manual,"₹10,94,000",luxury%20suv,LONGITUDE 2.0 DIESELManual,,,,,,,,
red,2014 Honda CRV,"84,498 KM",2ND,PETROL,MH-12,Automatic,"₹7,08,000",luxury%20suv,2.4L 2WD ATAutomatic,1.0,1.0,1.0,,1.0,,1.0,1.0
red,2013 Mahindra XUV500,"97,527 KM",1ST,DIESEL,MH-12,Manual,"₹6,75,000",luxury%20suv,W8Manual,,1.0,1.0,,1.0,,1.0,
blue,2018 Jeep Compass,"18,821 KM",3RD,PETROL,KA-01,Automatic,"₹13,53,000",luxury%20suv,LIMITED (O) 1.4 PETROL ATAutomatic,1.0,1.0,,,1.0,1.0,1.0,
blue,2019 Mahindra XUV500,"83,508 KM",2ND,DIESEL,WB-20,Manual,"₹10,61,000",luxury%20suv,W11Manual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
brown,2016 Mahindra XUV500,"97,110 KM",2ND,DIESEL,KA-03,Manual,"₹11,47,000",luxury%20suv,W10Manual,1.0,1.0,1.0,,1.0,,1.0,1.0
brown,2018 Mahindra XUV500,"52,554 KM",2ND,DIESEL,KA-01,Automatic,"₹16,15,000",luxury%20suv,W11 (O) ATAutomatic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
brown,2018 Mahindra XUV500,"94,212 KM",1ST,DIESEL,UP-16,Manual,"₹8,20,000",luxury%20suv,W7Manual,1.0,,1.0,1.0,1.0,1.0,1.0,
brown,2013 Honda CRV,"74,392 KM",2ND,PETROL,MH-05,Automatic,"₹6,86,000",luxury%20suv,2.4L 2WD ATAutomatic,1.0,1.0,1.0,,1.0,,1.0,1.0
brown,2017 Mahindra XUV500,"96,789 KM",1ST,DIESEL,TN-13,Manual,"₹11,73,000",luxury%20suv,W10 1.99Manual,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
brown,2020 Mahindra XUV500,"57,596 KM",2ND,DIESEL,TN-14,Manual,"₹15,30,000",luxury%20suv,W11(O)Manual,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
